ph,salinity,moisture,tds,light,temperature,humidity,timestamp
420,868,36,1019,85,31.5,49,2023-09-27 3:46:36.100
421,866,38,1018,84,31.5,49,2023-09-27 3:46:40.100
422,866,38,1018,84,31.5,49,2023-09-27 3:46:44.100
421,867,33,1021,84,31.5,49,2023-09-27 3:46:48.100
419,869,34,1020,85,31.4,49,2023-09-27 3:46:52.100
420,867,34,1020,84,31.5,49,2023-09-27 3:46:56.100
421,869,35,1020,84,31.5,49,2023-09-27 3:47:00.100
424,866,36,1017,84,31.5,49,2023-09-27 3:47:04.100
420,868,34,1021,84,31.5,49,2023-09-27 3:47:08.100
421,868,35,1019,84,31.5,49,2023-09-27 3:47:12.100
422,866,34,1019,84,31.5,49,2023-09-27 3:47:16.100
421,867,35,1021,85,31.5,49,2023-09-27 3:47:20.100
421,865,38,1017,85,31.5,49,2023-09-27 3:47:24.100
419,870,34,1021,85,31.5,49,2023-09-27 3:47:28.100
421,867,33,1019,85,31.5,49,2023-09-27 3:47:32.100
419,870,37,1020,84,31.5,49,2023-09-27 3:47:36.100
421,867,33,1020,85,31.5,49,2023-09-27 3:47:40.100
420,869,34,1021,85,31.5,49,2023-09-27 3:47:44.100
422,865,38,1017,84,31.5,49,2023-09-27 3:47:48.100
423,866,37,1016,85,31.5,49,2023-09-27 3:47:52.100
421,867,38,1019,85,31.5,49,2023-09-27 3:47:56.100
422,866,37,1017,85,31.5,49,2023-09-27 3:48:00.100
421,867,35,1021,84,31.5,49,2023-09-27 3:48:04.100
422,865,38,1018,84,31.6,49,2023-09-27 3:48:08.100
421,865,37,1017,84,31.5,49,2023-09-27 3:48:12.100
421,865,38,1016,84,31.6,49,2023-09-27 3:48:16.100
420,868,36,1019,84,31.6,49,2023-09-27 3:48:20.100
421,867,33,1021,84,31.5,49,2023-09-27 3:48:24.100
420,869,35,1022,84,31.6,49,2023-09-27 3:48:28.100
421,865,38,1018,84,31.5,49,2023-09-27 3:48:32.100
419,867,34,1022,84,31.6,49,2023-09-27 3:48:36.100
421,866,35,1018,84,31.6,49,2023-09-27 3:48:40.100
420,867,36,1020,84,31.6,49,2023-09-27 3:48:44.100
421,870,34,1021,84,31.6,49,2023-09-27 3:48:48.100
422,866,37,1017,84,31.6,49,2023-09-27 3:48:52.100
421,866,35,1020,84,31.6,50,2023-09-27 3:48:56.100
423,866,34,1020,84,31.6,50,2023-09-27 3:49:00.100
422,865,38,1018,84,31.6,50,2023-09-27 3:49:04.100
422,866,35,1019,84,31.5,50,2023-09-27 3:49:08.100
420,868,37,1018,84,31.5,50,2023-09-27 3:49:12.100
420,867,38,1018,84,31.5,50,2023-09-27 3:49:16.100
421,870,34,1022,84,31.6,50,2023-09-27 3:49:20.100
420,868,35,1018,84,31.5,50,2023-09-27 3:49:24.100
421,867,35,1019,84,31.6,49,2023-09-27 3:49:28.100
422,871,38,1021,84,31.6,50,2023-09-27 3:49:32.100
424,866,36,1017,84,31.5,50,2023-09-27 3:49:36.100
421,866,38,1017,84,31.5,50,2023-09-27 3:49:40.100
421,868,37,1019,84,31.6,50,2023-09-27 3:49:44.100
423,864,38,1018,84,31.6,50,2023-09-27 3:49:48.100
420,868,34,1018,84,31.6,50,2023-09-27 3:49:52.100
423,864,37,1017,84,31.6,50,2023-09-27 3:49:56.100
421,866,37,1018,84,31.5,50,2023-09-27 3:50:00.100
424,866,35,1017,84,31.5,50,2023-09-27 3:50:04.100
418,867,36,1018,84,31.5,50,2023-09-27 3:50:08.100
